Frequency (Thz)	Wavelength(nm)	n	k
298.308000	1005.671990	4.445250	1.379190e-01
300.000000	1000.000000	4.450520	1.410160e-01
301.692000	994.391631	4.455780	1.441070e-01
303.383000	988.849079	4.461030	1.471900e-01
305.075000	983.364746	4.466290	1.502660e-01
306.767000	977.940913	4.471540	1.533350e-01
308.459000	972.576582	4.476780	1.563970e-01
310.150000	967.273900	4.482020	1.594520e-01
311.842000	962.025641	4.487260	1.625000e-01
313.534000	956.834028	4.492490	1.655410e-01
315.226000	951.698147	4.497380	1.678470e-01
316.917000	946.620093	4.501950	1.694760e-01
318.609000	941.592987	4.506520	1.711010e-01
320.301000	936.618993	4.511090	1.727240e-01
321.992000	931.700166	4.515650	1.743430e-01
323.684000	926.829871	4.520210	1.759590e-01
325.376000	922.010228	4.524760	1.775720e-01
327.068000	917.240452	4.529310	1.791820e-01
328.759000	912.522547	4.533860	1.807890e-01
330.451000	907.850181	4.538400	1.823930e-01
332.143000	903.225418	4.542940	1.839940e-01
333.835000	898.647535	4.547470	1.855910e-01
335.526000	894.118489	4.552000	1.871860e-01
337.218000	889.632226	4.556520	1.887780e-01
338.910000	885.190759	4.561500	1.917820e-01
340.602000	880.793419	4.568000	1.994820e-01
342.293000	876.442112	4.574500	2.071610e-01
343.985000	872.131052	4.581000	2.148170e-01
345.677000	867.862195	4.587500	2.224520e-01
347.368000	863.637410	4.594010	2.300650e-01
349.060000	859.451097	4.600520	2.376560e-01
350.752000	855.305173	4.607030	2.452260e-01
352.444000	851.199056	4.613540	2.527740e-01
354.135000	847.134567	4.620060	2.603010e-01
355.827000	843.106341	4.626580	2.678060e-01
357.519000	839.116243	4.633100	2.752910e-01
359.211000	835.163734	4.639620	2.827540e-01
360.902000	831.250589	4.646140	2.901960e-01
362.594000	827.371661	4.652660	2.976170e-01
364.286000	823.528766	4.658150	3.009970e-01
365.977000	819.723644	4.663570	3.041510e-01
367.669000	815.951304	4.668980	3.072980e-01
369.361000	812.213526	4.674400	3.104380e-01
371.053000	808.509836	4.679800	3.135710e-01
372.744000	804.841929	4.686070	3.167660e-01
374.436000	801.205012	4.695340	3.201900e-01
376.128000	797.600817	4.704590	3.236010e-01
377.820000	794.028903	4.713830	3.270010e-01
379.511000	790.490921	4.723040	3.303880e-01
381.203000	786.982264	4.732250	3.337630e-01
382.895000	783.504616	4.741430	3.371260e-01
384.586000	780.059597	4.750600	3.404770e-01
386.278000	776.642729	4.759750	3.438170e-01
387.970000	773.255664	4.769010	3.471620e-01
389.662000	769.898014	4.778300	3.505060e-01
391.353000	766.571356	4.787590	3.538370e-01
393.045000	763.271381	4.796850	3.571570e-01
394.737000	759.999696	4.806100	3.604650e-01
396.429000	756.755939	4.815330	3.637620e-01
398.120000	753.541646	4.824810	3.680550e-01
399.812000	750.352666	4.834300	3.724110e-01
401.504000	747.190563	4.843760	3.767520e-01
403.195000	744.056846	4.853220	3.810760e-01
404.887000	740.947474	4.862650	3.853850e-01
406.579000	737.863982	4.872070	3.896790e-01
408.271000	734.806048	4.881480	3.939570e-01
409.962000	731.775140	4.890870	3.982200e-01
411.654000	728.767363	4.900910	4.027820e-01
413.346000	725.784210	4.912190	4.079180e-01
415.038000	722.825380	4.923450	4.130310e-01
416.729000	719.892304	4.934690	4.181240e-01
418.421000	716.981222	4.945910	4.231950e-01
420.113000	714.093589	4.957100	4.282450e-01
